Tweet,Followees,Followers,No of posts,Retweet count,Favorite count,Positive words,Negative words,No: of Words
"@BriarPatchDude @RickWrightNow @GinaPra23622738 Omg, i know! I'd be hurting after eating a fourth of it! That baked… https://t.co/kJKqIbhE9A",547,467,2444,0,3,0,1,18
"@mrsklvy @staceyabrams Hypothetical ?,  if a parent hurt their child, and there was no legal recourse. would you su… https://t.co/EJzlOt2Rx9",60,5,436,0,1,0,1,21
@JosephFort3 @BErickson_BIO @AlexBerenson @moderna_tx @pfizer @JNJ My logic includes wanting to stop the virus from… https://t.co/xjTQoa3v7K,41,1,118,0,0,0,1,16
@paigeetuttle hurting my feelings,85,44,879,0,0,0,1,4
Really salty my mouth is still hurting. I’ve just been silent all day bc I yawned earlier and almost cried 🥴,360,378,87449,0,0,1,1,21
"@drwhopodcasters ...You’re hurting me...YOU CAN’T MAKE ME CHOOSE BETWEEN MARCO POLO, THE MOST BEAUTIFUL DOCTOR WHO… https://t.co/3taLOhYlBQ",17,30,1023,0,2,0,1,17
@TinResistAgain @ruthbenghiat @MalcolmNance I don’t understand why they would keep this up and end up in prison los… https://t.co/Ce3FKi3TN8,16,37,4963,0,0,0,1,19
"my face is so swollen, my mom said it’s hurting her feelings. 😂😪",1214,1278,71653,0,1,0,2,13
Be happy in our safe zone without hurting anyone. GN 😴❤,0,4690,2712,120,278,2,1,11
"Stuff be hurting, but fr.. you gotta keep it playa and let it rock.",1354,4153,199984,0,0,0,1,14
"@Americanrebeli1 Yeah, but they're also more inclined to turn the community against the members hurting the communi… https://t.co/uFGYRXYMQG",2402,2025,2944,0,0,0,1,18
My alcohol tolerance done went down man I been hurting myself lately 😩,293,299,4724,0,0,0,1,13
"&lt; mangled hand and rolling on the pavement. 

Selene is in hysterics now, barely able to see through the tears stre… https://t.co/qss59EbfNX",498,591,50983,0,0,0,2,22
"You're still the one that's in my heart, so if you're hurting, I am too",123,95,124363,0,0,0,1,15
"You hope I'm hurting 
and I hope you great https://t.co/ftb22oLN7J",177,261,6536,0,3,1,1,10
@badvgtakes @EggsNoCntxt I want to play a bunch of GameCube games but they’re all marked up by a lot by resellers a… https://t.co/3IVrtYCLzI,166,11,955,0,0,0,0,23
"@Chandler_Rome Dusty being Dusty , this same type of stuff happened on his other managed teams . It seems everybody's legs are hurting.",51,21,2532,0,0,0,1,23
@elsaFCB You reflect and try to stop hurting others and yourself,129,358,27462,0,1,0,1,11
@JotyKay Don’t feel guilty. He’d never want to see you hurting. Read this 💗 https://t.co/sb5eDm4DlF,222,1405,3710,0,4,0,2,15
@Nero_Shen47 I'm always glad to know I'm hurting the industry. https://t.co/8sqFlJHfCp,444,62,22516,0,0,1,1,11
@BrooklynNets @HSpecialSurgery KD is out because he’s too much on Twitter and now his eyes are hurting 🤣,565,2950,3372,0,5,0,1,18
@iowademocrats @IAGovernor Really?  Yyou say bad Govervor because Iowans are hurting but then sIowans are great so… https://t.co/HI0difUA2E,119,20,2900,0,0,1,2,19
Our Young Supporters Community is hosting a (free) virtual event: “Helping Without Hurting: A Convo on Volunteerism… https://t.co/Emkok4AuI9,360,3622,3682,0,0,1,0,18
You want to double dip on crypto profits? Invest all your money and become a chiropractor.... everyone’s back gunna… https://t.co/Sm4J8e8OGP,16,14,147,1,1,0,0,20
@FabioTarantino I'm ok. My mouth was hurting pretty bad but I didn't know my teeth were cracked til I brushed them… https://t.co/ikN2YKY3NE,5507,5232,5557,0,0,1,3,22
"I was also super ashamed of who I was. I thought I was not brilliant because I did not speak well in public, could… https://t.co/8hQnZL5bXX",48,21,114,0,1,3,1,25
I’m spine be hurting af AAAAAAAA,437,454,3278,0,1,0,1,6
stop hurting nice people bro lol,1753,1832,22997,0,1,1,1,6
My mom is cutting onions far far far away from me and I'm crying it's horrible my eyes are hurting,593,758,5158,0,4,0,2,20
@That_Desi_Girl Is ur stomach hurting? Then in cryptic way u can divulge.,594,640,15830,0,0,0,1,12
@beingyemilaor It has nothing to do with you.  He most likely had expectations and couldn't be mature enough to han… https://t.co/5fdLfoim6a,723,812,8733,0,0,2,0,22
Last night a guy asked me why I’m nice to him when he keeps hurting me. I have never been sooo confused before because HURT?!? When?😂😂😂👁,370,1362,10861,0,3,1,2,26
"Shame made Adam &amp; Eve hide their nakedness from God. As long as you’re unwilling to acknowledge what’s hurting you,… https://t.co/awfUajVAi0",125,509,8265,0,0,0,2,21
@praveenpandey @girishgoyal821 @koltepatilltd @kolhe_amol @GpWagholi @AjitPawarSpeaks @CMOMaharashtra… https://t.co/FaD2vfFRmK,1506,497,1850,0,0,0,0,8
@kylegriffin1 She stopped another officer from hurting someone it should not be looked at as a betrayal. It should… https://t.co/htycKzbAAV,400,225,3355,0,5,0,2,20
Chahal's wicket less bowling is hurting RCB. We are not winning anyway.,172,401,11575,0,0,1,1,12
"His chest tightened the more he described this so-called crush of him, that he had to resist the urge to frown . Ho… https://t.co/4PJGoKDRTw",126,132,624,0,0,0,2,24
@Call_Me_Ryan_ Morning Ryan my eyes still hurting https://t.co/c8cJ2oLgHZ,366,170,3115,0,1,0,1,8
@GIFsOnly4 @ABC You have no clue how criminal law works. Learn before you speak. Homicide statutes have definitions… https://t.co/nXg8pFopH4,207,6,431,0,0,1,1,19
"my wisdom teeth right now: hey, guess what? i decided to start hurting you today. you didn't have anything to do th… https://t.co/k1nSH3Whyt",50,64,108,0,0,2,1,23
@AOC Tragic horrible death but is there not one person that can come out and say if he wouldn't have resisted arres… https://t.co/R23xLIkqrl,27,12,472,0,0,0,2,23
I just am aching for some understanding and I fucked up the most important friendship I've ever had so I'm just hur… https://t.co/8iXrk5ekZK,354,376,4436,0,2,1,1,23
@SocialistBoomer The one thing Bernie got that so many didn't is that these culture wars arise OUT of economic priv… https://t.co/dZt11rocmZ,366,309,17253,0,1,0,0,21
"Dear me , please stop falling in love with the second lead you are hurting yourself 😭😭 https://t.co/TQ4NQugWuz",151,62,5910,0,0,2,2,18
the video game industry isnt ur friend and how is emulating a game from 2012 that isnt sold anymore hurting the ind… https://t.co/O8qnPaYAJk,390,295,11063,0,2,0,1,23
"*After falling onto the wet sidewalk, hurting herself in the process

Also, I love the typhoon strips :P Can't say that enough",137,218,27660,0,2,2,2,21
